"filename", "language", "Dart", "comment", "blank", "total"
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/bookmarks/repository/get_my_bookmarks_repository_provider.dart", "Dart", 18, 0, 4, 22
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/bookmarks/repository/get_my_bookmarks_repository_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/favorite_teacher/query_service/get_favorite_teacher_query_service_provider.dart", "Dart", 27, 0, 4, 31
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/favorite_teacher/query_service/get_favorite_teacher_query_service_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/favorite_teacher/repository/favorite_teacher_repository_provider.dart", "Dart", 18, 0, 4, 22
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/favorite_teacher/repository/favorite_teacher_repository_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/liked_answers/query_service/liked_answers_query_service_provider.dart", "Dart", 25, 0, 4, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/liked_answers/query_service/liked_answers_query_service_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/liked_answers/repository/liked_answers_repository_provider.dart", "Dart", 18, 0, 4, 22
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/liked_answers/repository/liked_answers_repository_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/notification/factory/notification_factory_provider.dart", "Dart", 19, 0, 4, 23
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/notification/factory/notification_factory_provider.g.dart", "Dart", 15, 7, 6, 28
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/notification/repository/notification_repository_provider.dart", "Dart", 18, 0, 4, 22
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/notification/repository/notification_repository_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/photo/photo_repository_provider.dart", "Dart", 17, 0, 4, 21
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/photo/photo_repository_provider.g.dart", "Dart", 14, 7, 6, 27
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/factory/question_factory_provider.dart", "Dart", 20, 0, 4, 24
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/factory/question_factory_provider.g.dart", "Dart", 14, 7, 6, 27
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/query_service/get_question_query_service_provider.dart", "Dart", 31, 0, 4, 35
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/query_service/get_question_query_service_provider.g.dart", "Dart", 16, 7, 6, 29
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/query_service/get_recommended_questions_query_service_provider.dart", "Dart", 31, 0, 4, 35
"/Users/morikazu/Downloads/StudyHub_student/lib/application/di/question/query_service/get_recommended_questions_query_service_provider.g.dart", "Dart", 16, 7, 6, 29
